ID_REF	GSM356334	GSM356337	GSM356335	GSM356336
AFFX-BioB-5_at	8.928589	9.109276	6.743507	6.157877
AFFX-BioB-M_at	9.812846	9.914683	7.519163	6.893269
AFFX-BioB-3_at	9.118076	9.227785	6.963441	6.386325
AFFX-BioC-5_at	10.29038	10.433295	7.32196	6.712389
AFFX-BioC-3_at	10.434307	10.511574	7.482426	6.83453
AFFX-BioDn-5_at	11.614269	11.571031	9.173945	8.562756
AFFX-BioDn-3_at	12.20767	12.288872	9.978464	9.2186
AFFX-CreX-5_at	13.843008	13.826025	12.110343	11.607555
AFFX-CreX-3_at	13.813932	13.833504	12.254457	11.438997
AFFX-DapX-5_at	6.682691	7.074534	6.518065	6.015227
AFFX-DapX-M_at	7.608166	8.103885	7.400976	7.019276
AFFX-DapX-3_at	9.204146	9.761278	8.67103	8.100382
AFFX-LysX-5_at	6.223237	6.510736	5.946651	5.628038
AFFX-LysX-M_at	6.544698	6.891724	6.355226	5.853432
AFFX-LysX-3_at	7.708165	8.160451	7.496859	6.976756
AFFX-PheX-5_at	6.095332	6.600183	6.356039	5.835455
AFFX-PheX-M_at	6.68971	6.947076	6.358084	5.951678
AFFX-PheX-3_at	7.499899	7.829422	7.417974	7.073266
AFFX-ThrX-5_at	6.503314	6.897061	6.59068	6.072277
AFFX-ThrX-M_at	6.427799	6.844004	6.188646	5.924048
AFFX-ThrX-3_at	7.463892	7.910252	7.328841	6.686071
AFFX-TrpnX-5_at	6.345809	6.48264	6.387494	5.855139
AFFX-TrpnX-M_at	6.323817	6.366465	6.030526	5.65321
AFFX-TrpnX-3_at	6.146137	6.418653	5.739841	5.571046
AFFX-r2-Ec-bioB-5_at	9.534202	9.706255	7.702325	7.067209
AFFX-r2-Ec-bioB-M_at	9.560023	9.842219	7.606139	6.925584
AFFX-r2-Ec-bioB-3_at	9.408067	9.626721	7.577985	6.969769
AFFX-r2-Ec-bioC-5_at	10.48686	10.698181	7.756692	6.804656
AFFX-r2-Ec-bioC-3_at	10.79671	11.011942	7.92359	7.327152
AFFX-r2-Ec-bioD-5_at	13.045056	13.25781	10.928405	10.285347
AFFX-r2-Ec-bioD-3_at	13.475503	13.471985	11.219436	10.479756
AFFX-r2-P1-cre-5_at	13.66006	13.73687	12.206795	11.540868
AFFX-r2-P1-cre-3_at	14.100872	14.11607	13.082437	12.252328
AFFX-r2-Bs-dap-5_at	7.051103	7.421603	6.66046	6.413926
AFFX-r2-Bs-dap-M_at	7.715073	8.237809	7.426562	7.109183
AFFX-r2-Bs-dap-3_at	9.671454	10.118091	8.920866	8.42572
AFFX-r2-Bs-lys-5_at	6.317146	6.550348	5.869741	5.966268
AFFX-r2-Bs-lys-M_at	7.288758	7.663008	6.762989	6.450067
AFFX-r2-Bs-lys-3_at	7.496722	7.740322	7.213046	6.579642
AFFX-r2-Bs-phe-5_at	6.778913	7.075177	6.473111	5.982916
AFFX-r2-Bs-phe-M_at	6.589948	6.942365	6.548245	5.868406
AFFX-r2-Bs-phe-3_at	7.927149	7.958443	7.326285	7.020151
AFFX-r2-Bs-thr-3_s_at	7.347707	7.860728	7.029031	6.690695
AFFX-r2-Bs-thr-M_s_at	6.763519	7.195488	6.591124	6.375897
AFFX-r2-Bs-thr-5_s_at	6.065542	6.090686	5.710904	5.311425
AFFX-b-ActinMur/M12481_5_at	11.438619	10.842178	10.898329	11.653745
AFFX-b-ActinMur/M12481_M_at	12.22029	11.638984	11.470946	12.208475
AFFX-b-ActinMur/M12481_3_at	13.245719	13.163481	13.195653	13.38944
AFFX-GapdhMur/M32599_5_at	13.564349	13.17545	12.957493	13.695556
AFFX-GapdhMur/M32599_M_at	13.124644	12.872222	12.595077	13.242014
AFFX-GapdhMur/M32599_3_at	13.304089	13.097634	12.896348	13.313376
AFFX-TransRecMur/X57349_5_at	7.026255	6.953778	6.871118	6.927976
AFFX-TransRecMur/X57349_M_at	6.873894	6.750214	6.621926	6.613378
AFFX-TransRecMur/X57349_3_at	7.282281	7.059203	6.902235	7.173216
AFFX-PyruCarbMur/L09192_5_at	8.427219	7.84502	7.105419	8.081827
AFFX-PyruCarbMur/L09192_MA_at	8.713394	8.112045	7.782647	8.561843
AFFX-PyruCarbMur/L09192_MB_at	9.450136	8.895272	8.469463	9.168732
AFFX-PyruCarbMur/L09192_3_at	10.666095	10.43601	9.826091	10.202041
AFFX-18SRNAMur/X00686_5_at	6.494629	7.171142	7.182467	6.768861
AFFX-18SRNAMur/X00686_M_at	7.23524	7.8903	8.14785	7.1662
AFFX-18SRNAMur/X00686_3_at	7.418642	7.917958	8.021338	7.185745
AFFX-MUR_b2_at	9.735106	9.939072	9.744076	9.76548
AFFX-MURINE_b1_at	11.887068	12.286057	11.618888	11.333799
AFFX-MURINE_B2_at	14.307062	14.38085	14.490821	14.455085
ENSMUSG00000000001_at	10.147276	9.906582	10.198588	10.181039
ENSMUSG00000000003_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000028_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000031_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000037_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000049_at	2.321928	3.045445	9.724978	6.176759
ENSMUSG00000000056_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000058_at	10.732842	10.656596	10.51814	10.220234
ENSMUSG00000000078_at	6.851776	5.998083	9.223621	5.616075
ENSMUSG00000000085_at	5.818906	5.894854	6.199113	5.500477
ENSMUSG00000000088_at	12.926305	12.928942	12.854364	12.881336
ENSMUSG00000000094_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000103_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000120_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000125_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000126_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000127_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000134_at	6.281282	5.927441	5.79926	5.91781
ENSMUSG00000000142_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000148_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000149_at	7.349709	6.109773	4.78589	7.385831
ENSMUSG00000000154_at	10.902046	10.735155	9.089215	11.462784
ENSMUSG00000000157_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000159_at	9.341372	8.911043	9.467136	9.652859
ENSMUSG00000000167_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000168_at	9.487864	9.464053	9.168419	9.684486
ENSMUSG00000000171_at	11.376815	11.15899	10.89812	11.274283
ENSMUSG00000000182_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000184_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000194_at	7.162923	7.162923	7.203533	7.155259
ENSMUSG00000000202_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000204_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000214_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000215_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000216_at	8.104582	7.919228	6.58772	7.416878
ENSMUSG00000000223_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000244_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000247_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000253_at	8.393078	8.71171	9.081862	9.030795
ENSMUSG00000000263_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000266_at	2.808962	2.808962	2.808962	2.84464
ENSMUSG00000000275_at	8.124715	8.268601	8.251648	8.251648
ENSMUSG00000000276_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000278_at	11.013563	10.776789	10.735346	10.995263
ENSMUSG00000000282_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000290_at	3.827783	3.827657	4.580006	3.827657
ENSMUSG00000000295_at	6.721033	6.90544	6.435476	5.103494
ENSMUSG00000000296_at	2.321928	2.321928	3.341376	2.321928
ENSMUSG00000000301_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000303_at	10.466322	10.745162	10.944514	10.269005
ENSMUSG00000000308_at	8.755831	8.875313	7.819257	8.071166
ENSMUSG00000000317_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000318_at	2.321928	2.321928	4.482275	2.321928
ENSMUSG00000000320_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000325_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000326_at	11.495931	11.3042	11.099998	11.707771
ENSMUSG00000000339_at	8.555544	8.358458	9.138453	8.761728
ENSMUSG00000000340_at	9.522546	9.784501	9.833537	9.807082
ENSMUSG00000000346_at	11.935635	11.947702	12.366172	11.881755
ENSMUSG00000000355_at	9.325552	9.398384	9.448713	9.561889
ENSMUSG00000000359_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000365_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000378_at	6.972412	7.097984	6.622987	6.972412
ENSMUSG00000000381_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000384_at	6.729628	6.684771	6.783689	6.729628
ENSMUSG00000000385_at	8.755635	8.680868	9.465766	9.061002
ENSMUSG00000000392_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000394_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000399_at	11.945487	12.063617	11.340755	11.867928
ENSMUSG00000000402_at	8.128274	8.536572	6.342758	7.159092
ENSMUSG00000000409_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000411_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000416_at	6.073877	5.747609	5.287931	5.7395
ENSMUSG00000000420_at	8.240691	8.029092	8.647202	9.369239
ENSMUSG00000000435_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000439_at	6.941717	7.125244	7.72177	7.480194
ENSMUSG00000000440_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000441_at	8.989592	8.820347	9.278909	9.249138
ENSMUSG00000000486_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000489_at	3.863349	3.863349	3.863349	3.863349
ENSMUSG00000000530_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000531_at	5.370092	5.370092	6.94934	5.370092
ENSMUSG00000000532_at	2.89708	3.05588	4.511033	3.200015
ENSMUSG00000000538_at	4.487831	4.487831	4.487831	4.487831
ENSMUSG00000000544_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000552_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000555_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000560_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000561_at	6.131328	6.131328	5.579142	6.131328
ENSMUSG00000000562_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000563_at	11.877784	11.707044	11.335609	11.740288
ENSMUSG00000000567_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000568_at	9.710532	9.589651	10.17071	8.996088
ENSMUSG00000000581_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000594_at	9.898344	9.490248	8.243001	8.634264
ENSMUSG00000000600_at	7.500329	7.034614	5.290783	6.7925
ENSMUSG00000000605_at	7.582796	7.549559	6.284445	7.323845
ENSMUSG00000000606_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000627_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000628_at	3.156665	3.156665	4.804345	3.156665
ENSMUSG00000000631_at	9.947558	10.016849	9.320352	9.412531
ENSMUSG00000000632_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000673_at	9.776592	9.793329	9.041892	10.290498
ENSMUSG00000000682_at	4.095122	3.556771	4.05802	3.887301
ENSMUSG00000000686_at	2.321928	2.321928	2.321928	3.099035
ENSMUSG00000000690_at	8.288296	8.620128	7.939921	7.790746
ENSMUSG00000000693_at	2.321928	2.321928	2.473786	2.321928
ENSMUSG00000000702_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000706_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000708_at	9.894816	9.992352	9.992352	10.016192
ENSMUSG00000000724_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000730_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000731_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000738_at	7.537008	7.537008	7.280409	7.537008
ENSMUSG00000000739_at	2.321928	2.321928	2.506037	2.321928
ENSMUSG00000000751_at	9.062614	9.25722	9.31869	9.013176
ENSMUSG00000000753_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000759_at	6.130173	5.728831	6.081969	6.051057
ENSMUSG00000000766_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000776_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000782_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000787_at	11.287015	11.179016	11.395851	11.027684
ENSMUSG00000000791_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000792_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000794_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000804_at	8.815641	8.829246	8.829246	8.829246
ENSMUSG00000000805_at	9.815367	9.813866	8.527404	10.377094
ENSMUSG00000000811_at	6.240234	6.814361	7.007707	6.814361
ENSMUSG00000000817_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000823_at	6.402739	6.207793	6.465568	5.951891
ENSMUSG00000000826_at	5.875264	5.614883	6.293191	5.903888
ENSMUSG00000000827_at	6.349643	6.083157	6.077796	6.083157
ENSMUSG00000000838_at	4.916678	4.916678	4.916678	4.916678
ENSMUSG00000000861_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000869_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000876_at	9.434049	9.423352	9.503968	9.804816
ENSMUSG00000000881_at	5.839474	6.136606	6.357306	5.111452
ENSMUSG00000000884_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000889_at	2.321928	2.321928	2.36262	2.321928
ENSMUSG00000000901_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000902_at	7.15879	6.812748	6.20655	6.565648
ENSMUSG00000000903_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000915_at	5.031514	5.115237	6.396349	5.031514
ENSMUSG00000000916_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000934_at	6.560167	6.890878	5.998263	6.473548
ENSMUSG00000000938_at	7.703459	7.572665	6.622235	7.564147
ENSMUSG00000000942_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000948_at	3.114663	3.130171	3.130171	5.795966
ENSMUSG00000000957_at	3.296548	3.296548	5.659155	3.296495
ENSMUSG00000000958_at	11.245639	10.85137	9.710923	10.997774
ENSMUSG00000000959_at	5.758322	5.972173	5.757782	5.758322
ENSMUSG00000000976_at	2.321928	2.321928	2.321928	2.485912
ENSMUSG00000000982_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000000983_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000001014_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000001016_at	5.944917	5.945373	5.944917	5.944917
ENSMUSG00000001017_at	8.29232	8.191711	7.881707	8.120992
ENSMUSG00000001018_at	6.863938	6.657666	6.819017	6.747681
ENSMUSG00000001020_at	3.52085	3.503256	5.514985	3.538444
ENSMUSG00000001021_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000001023_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000001025_at	9.657475	8.812641	10.065851	8.096567
ENSMUSG00000001027_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000001029_at	5.77437	5.896773	4.51877	6.110952
ENSMUSG00000001034_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000001036_at	6.51009	6.27201	7.295895	6.586611
ENSMUSG00000001039_at	2.978724	2.978724	2.978724	2.975765
ENSMUSG00000001052_at	4.549497	4.549497	4.549497	4.549497
ENSMUSG00000001053_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000001054_at	6.461182	6.432072	6.461182	7.00321
ENSMUSG00000001056_at	8.615383	8.577244	8.892938	9.728638
ENSMUSG00000001062_at	4.268404	4.268404	4.268404	4.312506
ENSMUSG00000001065_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000001082_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000001089_at	3.781788	3.781788	4.048488	3.781788
ENSMUSG00000001095_at	9.853942	9.629596	9.425786	9.41286
ENSMUSG00000001098_at	6.874336	6.874336	7.131077	6.831485
ENSMUSG00000001100_at	9.362796	9.002051	8.557675	9.188893
ENSMUSG00000001103_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000001105_at	5.834736	6.406711	5.779159	5.426899
ENSMUSG00000001119_at	8.040684	7.078464	8.550216	6.409301
ENSMUSG00000001120_at	6.88759	6.88759	7.336493	6.633931
ENSMUSG00000001123_at	6.977089	6.782669	6.800275	6.800275
ENSMUSG00000001127_at	7.67237	7.541298	6.839122	7.685664
ENSMUSG00000001128_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000001131_at	2.321928	2.321928	4.796361	2.321928
ENSMUSG00000001138_at	5.684045	5.686194	6.207125	5.686194
ENSMUSG00000001143_at	7.745382	7.976409	7.079968	7.745382
ENSMUSG00000001150_at	7.119618	7.118496	7.080539	6.968637
ENSMUSG00000001151_at	5.850837	5.850837	6.169579	5.490336
ENSMUSG00000001155_at	2.619419	2.619419	3.477754	4.988954
ENSMUSG00000001156_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000001157_at	7.476088	7.318238	6.622389	7.318238
ENSMUSG00000001158_at	10.944864	10.611637	10.321847	10.628616
ENSMUSG00000001166_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000001168_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000001173_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000001175_at	10.338286	9.950269	9.264344	9.766594
ENSMUSG00000001211_at	9.427632	9.376504	8.631555	9.288734
ENSMUSG00000001225_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000001228_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000001229_at	4.459429	4.647156	4.459429	4.058706
ENSMUSG00000001240_at	7.463838	7.355509	7.324273	7.218869
ENSMUSG00000001247_at	7.317052	7.082617	7.370797	6.904501
ENSMUSG00000001248_at	3.282558	2.931837	4.79119	3.343102
ENSMUSG00000001249_at	11.384624	11.088175	10.943048	11.214634
ENSMUSG00000001260_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000001270_at	10.654036	10.571068	9.39954	9.284225
ENSMUSG00000001280_at	10.028021	10.419722	10.860781	10.178712
ENSMUSG00000001281_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000001285_at	7.047552	7.162259	6.640057	6.664865
ENSMUSG00000001288_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000001289_at	10.832256	10.921718	10.327143	10.241537
ENSMUSG00000001300_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000001305_at	3.234657	3.234657	3.234657	3.234657
ENSMUSG00000001323_at	7.988337	7.971348	6.835655	8.683839
ENSMUSG00000001333_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000001334_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000001348_at	9.457004	9.066552	8.578855	9.996545
ENSMUSG00000001349_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000001366_at	7.401564	7.401564	6.726815	7.511191
ENSMUSG00000001376_at	6.67152	6.238388	6.305606	7.248218
ENSMUSG00000001379_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000001380_at	7.995708	8.074924	8.028053	7.836372
ENSMUSG00000001403_at	6.266432	3.716838	3.607637	2.73814
ENSMUSG00000001415_at	6.519401	6.551926	6.519401	6.486876
ENSMUSG00000001416_at	9.928894	9.946884	10.17904	10.283252
ENSMUSG00000001417_at	7.636049	8.08201	6.747104	7.281075
ENSMUSG00000001418_at	10.175068	9.966079	9.654627	10.165988
ENSMUSG00000001419_at	5.148976	5.308771	5.382329	5.360456
ENSMUSG00000001420_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000001424_at	7.140759	7.37847	7.312609	6.814973
ENSMUSG00000001435_at	9.27456	8.690992	9.683911	8.651246
ENSMUSG00000001440_at	8.139737	8.071007	7.755206	7.787703
ENSMUSG00000001441_at	7.725939	7.889963	7.948444	7.989364
ENSMUSG00000001444_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000001445_at	9.021112	8.806825	8.357631	9.374657
ENSMUSG00000001467_at	9.57226	10.372873	8.68854	10.437862
ENSMUSG00000001472_at	6.458516	6.374625	6.897775	6.884934
ENSMUSG00000001473_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000001482_at	7.834545	7.541312	7.253676	8.182594
ENSMUSG00000001493_at	3.216368	3.401928	3.216368	3.216368
ENSMUSG00000001494_at	2.321928	2.321928	2.321928	2.321928
ENSMUSG00000001496_at	2.321928	2.321928	2.321928	2.321928
