GSM1692546	GSM1692547	GSM1692548	GSM1692549	GSM1692550	GSM1692551	GSM1692552	GSM1692553	GSM1692554
0610005C13Rik	3.786423959	4.028645629	5.144622303	4.581828263	3.904457004	5.886904683	5.685264066	4.986918987	3.277813048
0610006L08Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
0610009B22Rik	9.600956608	9.452049846	9.052445439	9.36720705	9.452049846	9.642762799	9.452049846	9.452049846	9.273137026
0610009L18Rik	5.576798026	6.217910905	6.217910905	6.468580508	6.16197909	5.207515869	6.217910905	6.715508922	6.262593103
0610010K14Rik	8.155623749	8.651397944	6.641043999	7.171890547	6.75681304	8.026094326	7.548047748	7.034581165	7.615664026
0610012G03Rik	9.350861799	9.761388994	9.457959961	9.068936262	8.748193596	9.584121033	9.730649776	9.958440983	9.329699258
0610025J13Rik	2.249927749	2.249927749	2.249927749	2.249927749	2.249927749	2.249927749	2.249927749	2.249927749	2.231534594
0610030E20Rik	8.96478606	9.059412088	9.632965566	9.648012302	9.525505654	8.959439157	9.104507684	9.024256729	9.319196975
0610033M10Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.188486327	2.191145526	2.184710334	2.184710334	2.184710334
0610038B21Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
0610039K10Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
0610040A22Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
0610040B10Rik	2.626250912	2.625102206	2.497862247	2.625102206	2.625102206	2.505979667	2.625102206	2.625102206	3.13918643
0610040F04Rik	2.184710334	2.218605104	2.218605104	2.218605104	2.22894089	2.211788949	2.218605104	2.218605104	2.218605104
0610040J01Rik	6.388426602	5.602812964	6.345320636	4.973533813	5.705584195	7.064097932	7.623248356	6.562312395	4.795974216
0610042E11Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
0710001A04Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
0710001D07Rik	2.184710334	2.394197443	2.184710334	2.184710334	2.426281958	2.184710334	2.184710334	2.184710334	2.414315799
1110002E22Rik	3.755709743	3.208838093	4.892691181	5.028902868	6.485404245	4.003307652	4.926977734	4.050876124	5.176518077
1110002L01Rik	4.872306603	6.077833246	4.872306603	4.499985967	4.854338716	5.464704247	4.872306603	4.805755692	4.525774881
1110004F10Rik	10.11340027	10.36155864	9.434772795	9.72827018	9.585746	10.28677836	9.44268318	9.734156137	9.860730872
1110004M10Rik	3.915653089	3.896124945	3.682217881	3.471147436	4.301517185	3.683987502	3.682217881	3.682217881	3.682217881
1110006O24Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
1110008E08Rik	2.221780412	2.221780412	2.221780412	2.221780412	2.221780412	2.221780412	2.221780412	2.221780412	2.221780412
1110015O18Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
1110017D15Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
1110018N20Rik	2.397594285	2.391043743	2.391043743	2.397594285	2.397594285	2.397594285	3.162828789	2.397594285	2.397594285
1110019B22Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
1110019D14Rik	2.441186818	2.307515438	2.307515438	2.307515438	2.307515438	2.307515438	2.307515438	2.307515438	2.307515438
1110020A21Rik	2.191577726	2.191577726	2.191577726	2.19394022	2.191577726	2.191577726	2.191577726	2.191577726	2.191577726
1110020C17Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
1110028F11Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
1110028F18Rik	2.184710334	2.184710334	2.231684885	2.184710334	2.184710334	2.184710334	2.184710334	2.186186822	2.185186324
1110032A03Rik	9.299808984	10.07051147	8.843389759	9.1728465	8.637580267	9.613017644	9.052952618	9.308778622	9.273253123
1110032F04Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
1110035E04Rik	2.573731524	2.573731524	2.504840051	2.491348968	2.774766275	2.972248509	2.686469685	2.712276219	2.573731524
1110038B12Rik	5.432968941	6.619882006	6.138607787	5.90501515	6.830699605	6.774946029	7.133004148	6.830699605	6.830699605
1110038F14Rik	8.620619851	9.058284215	8.070708909	8.878721661	8.298807682	8.667393823	8.141726901	8.335223024	8.689616051
1110046J04Rik	2.644046333	2.651509356	2.644046333	2.644046333	2.644046333	2.920003333	2.644046333	2.644046333	2.644046333
1110059E24Rik	9.300275126	9.709759982	9.664519476	9.859468479	9.867835209	9.679615529	9.682582996	9.679615529	9.941923248
1110059G02Rik	7.849369009	8.770014609	7.356608547	6.386913591	7.787785249	7.631747616	6.652244275	7.485262756	8.294884423
1110059G10Rik	9.366782064	9.118981095	9.405000712	9.884818783	9.666096718	9.340451619	9.530958831	9.616486436	9.809041396
1110065P20Rik	8.292563928	9.311766977	8.756991542	9.114482909	8.337203846	8.679456436	8.593646541	8.938248852	9.19977682
1200003I10Rik	2.831481757	2.831481757	2.831481757	2.723139601	3.02655356	2.831481757	2.89030859	2.986319593	2.796425443
1200007C13Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
1200015M12Rik	12.58980919	12.7506726	11.74006069	11.96670126	11.82911074	12.40128379	12.41357033	12.05311388	12.24890386
1300002E11Rik	3.377386731	3.667659029	3.710913697	3.399164337	3.652321916	3.160393301	3.92412846	3.652321916	4.218741416
1300014J16Rik	2.18760446	2.18760446	2.18760446	2.18760446	2.18760446	2.18760446	2.18760446	2.18760446	2.18760446
1500002C15Rik	2.202232502	2.200778343	2.202232502	2.202232502	2.202232502	2.202232502	2.184710334	2.202232502	2.202232502
1500002F19Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
1500002I01Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
1500002K03Rik	3.583164782	3.275053341	2.372493994	2.365459074	2.1936276	3.394543407	2.380616796	3.217659143	2.33314258
1500004A13Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
1500005C15Rik	2.210911517	2.210911517	2.210911517	2.210911517	2.210911517	2.208414762	2.573744858	2.212211193	2.242961314
1500009L16Rik	4.862047732	5.263470829	4.518857094	4.933157928	5.672768841	4.692238647	4.862047732	4.862047732	5.145473547
1500011B03Rik	6.907632895	6.69624722	6.907632895	6.704214068	7.065586899	6.680967731	7.262305092	7.240292113	6.893124395
1500015A07Rik	3.26411741	3.336299444	3.706332888	3.081159518	3.449044417	2.920324402	3.187432846	3.590707035	3.489985788
1500032P08Rik	7.498274933	7.908375406	7.732945974	7.706579588	7.519635353	7.410364696	7.856973493	7.442335028	6.798922987
1500035N22Rik	2.197782102	2.197782102	2.197782102	2.197782102	2.197782102	2.197782102	2.197782102	2.197782102	2.197782102
1520401O13Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.275933077	2.184710334	2.184710334
1600010M07Rik	2.701614491	2.701614491	2.701614491	2.717623264	2.701614491	2.701614491	2.701614491	2.701614491	2.701614491
1600012H06Rik	9.486755254	9.896488379	9.41154272	9.630119673	9.492907959	9.280782873	9.261082375	9.639996143	9.669185281
1600014C10Rik	8.060711264	7.582211976	8.152698618	8.068143928	8.074816966	8.335030726	8.482751788	8.152698618	8.014702959
1600014C23Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.195432917	2.184710334	2.184710334	2.184710334	2.184710334
1600020E01Rik	8.319327324	8.531856164	8.869991214	8.523406927	8.808351319	8.569679918	8.425489358	8.691171843	8.523406927
1600022D10Rik	2.205855658	2.206004568	2.205855658	2.205855658	2.205855658	2.205855658	2.205855658	2.205855658	2.362306951
1600023N17Rik	2.184710334	2.348790883	2.348790883	2.653392153	2.348790883	2.348790883	2.716711135	2.348790883	2.348790883
1600025M17Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
1600029I14Rik	2.389800989	2.25016733	2.25016733	2.25016733	2.25016733	2.25016733	2.25016733	2.25016733	2.25016733
1600029O15Rik	2.871935972	2.951984302	2.871935972	2.871935972	2.598226643	2.914887085	2.871935972	2.871935972	2.871935972
1700001C19Rik	2.232248768	2.232248768	2.232248768	2.232248768	2.232248768	2.232248768	2.232248768	2.232248768	2.232248768
1700001G11Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
1700001G17Rik	2.18588825	2.18588825	2.18588825	2.18588825	2.18588825	2.184710334	2.18588825	2.18588825	2.18588825
1700001J04Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
1700001K19Rik	2.213084545	2.200439912	2.330589802	2.213084545	2.213084545	2.213084545	2.213084545	2.213084545	2.213084545
1700001L05Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
1700001L19Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
1700001O22Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
1700001P01Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
1700003D09Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
1700003E16Rik	2.184710334	2.184710334	4.889765528	5.412494462	3.283380677	2.184710334	3.617315943	4.381061982	4.20699613
1700003F12Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
1700003H04Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
1700003I16Rik	2.200819862	2.665832363	2.39173084	2.329342757	2.200819862	2.196352981	2.200819862	2.200819862	2.355007932
1700003P14Rik	2.440125082	3.760823469	2.440125082	2.440125082	2.462247206	2.440125082	2.440125082	2.440125082	2.440125082
1700006A11Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
1700006F04Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.187172477	2.184710334	2.184710334	2.184710334
1700006J14Rik	2.184710334	2.184710334	2.184710334	2.204370642	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
1700007E05Rik	2.239767716	2.184710334	2.184710334	2.184710334	2.254991022	2.184710334	2.184710334	2.184710334	2.184710334
1700007F19Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
1700007J10Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
1700007L15Rik	2.184710334	2.215609887	2.215609887	2.208159731	2.227824836	2.215609887	2.215609887	2.215609887	2.215609887
1700008H02Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
1700008J07Rik	3.269400347	3.336474422	3.335666806	3.269010575	3.335666806	3.335666806	3.273388144	3.009202903	3.406895706
1700008K24Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
1700008N17Rik	2.185153799	2.184710334	2.222153543	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
1700008O03Rik	2.28569794	2.344447258	2.344447258	2.369125068	2.344447258	2.344447258	2.344447258	2.459238299	2.344447258
1700008P02Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
1700009J07Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
1700009N14Rik	4.054169312	3.874715187	3.874715187	3.874715187	4.002429314	3.874715187	3.874715187	3.874715187	3.874715187
1700010B08Rik	2.64951125	2.64951125	2.64951125	2.64951125	2.64951125	2.64951125	2.64951125	2.64951125	2.64951125
1700010B13Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
1700010H22Rik	2.209503418	2.209503418	2.209503418	2.209503418	2.209503418	2.209503418	2.209503418	2.209503418	2.209503418
1700010I14Rik	2.22665195	2.249038994	2.249038994	2.249038994	2.249038994	2.249038994	2.249038994	2.249038994	2.249038994
1700010L04Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
1700010N08Rik	2.184710334	2.184775914	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
1700011B04Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.19216049	2.184710334
1700011L22Rik	2.185322576	2.185322576	2.185322576	2.185322576	2.18954435	2.185322576	2.185322576	2.185322576	2.185322576
1700011M02Rik	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334	2.184710334
