	GSM356334	GSM356335	GSM356336	GSM356337
Atp6v0d1	10.7733455642026	10.3964680379528	10.4277107049103	10.4391506666327
Golga7	10.9324990465041	10.4387708002075	10.6831877456153	10.7597593244329
Psph	8.45520443934906	7.23467291692152	7.96993401883315	7.97141928122832
Dpm2	7.96973900745333	7.83639903804072	8.07219368811755	7.75493417036654
Psmb5	10.9560846533447	10.4845092150175	11.0122983824507	10.6596361785157
Dhrs1	10.2749287405318	9.20499188272787	10.3114669457492	9.89567759749126
Psenen	10.9787686229498	10.8921037389728	11.1064052971612	11.0961247856012
Mrpl43	9.67818121653579	9.36721730404155	9.94986862641963	9.64139585246446
Mtif2	8.96460708851342	8.1896117536426	8.76931896578888	8.80188945991465
Golm1	8.01825932004779	8.40533870006877	7.34139230989635	7.74979728495516
Gps1	10.3555935031416	10.0829888454022	10.6652007239357	10.199794062148
Ctbp1	10.698093046616	10.6703241378657	10.4904460667031	10.698916321487
Anapc2	9.58154210955918	9.34459402383766	9.47609315968996	9.50714141362954
Cox18	9.28312046623886	8.88770719237545	9.25781730883192	8.89038624785417
Ddx24	9.37692027130044	9.59276017916267	9.12544284840343	9.21890328059409
Sap30l	10.1300922606943	9.79517946292683	9.90167182590407	9.98349747282634
Mad2l1bp	7.95268596261325	7.99986413609066	8.01145605157107	7.87702176898673
Naa60	9.1157645677929	8.53415742643088	8.82186439186096	8.68509968551663
Rrn3	7.6732267645065	7.4984364868269	7.52119669030502	7.37319793505401
Naxe	10.6855941610047	9.18801490823384	10.4150068997116	10.2246799275528
Tomm5	10.3970339308818	10.0809276383886	10.5146640900933	10.3436566086783
Ddb1	10.867220825153	11.3183847086197	10.4993574687284	10.9123811857259
Txndc12	9.92793091221701	9.3553850927977	9.91230437732455	9.86983938934386
Psmc5	10.3462465622624	10.3331001012683	10.3233414272288	10.4464624497359
Tmem165	10.233121845149	9.48192283541708	10.0970017738617	10.202207155632
Aup1	9.48142794945318	9.02187298865942	9.51070645283896	9.34293444981463
Hdac5	8.47680308413339	8.63609931616769	8.50115190008304	8.37936278803563
Pfdn6	9.55350295138085	8.38494828547058	9.44707422914202	9.62060707857342
Vps26c	9.07828705076399	8.52404718791792	9.25819042482585	9.1666637394662
Cic	8.74684380343764	9.09358615053973	8.4146728038118	8.73693724935693
Rragc	10.4374609340513	10.8319679337962	10.3633562195643	10.1372731266804
BC031181	11.0899688097108	10.8101569052063	11.2287371581205	11.1683512629926
Aldh3a2	9.07662684711003	8.82584623432049	10.0446594426232	8.47434734241197
Pnliprp1	4.95696954735231	5.26584259429817	5.14280581265463	4.97118220317069
Actg1	13.2152544935108	13.1846124125225	13.134711906647	13.0100772987189
Sumo2	11.7435903438472	11.3833058543886	11.6117768422016	11.5907592189336
Pgc	5.45233716068505	5.6598523328766	5.66914021533387	5.55358842053754
Rnf34	9.38532057002551	9.26788718119827	9.66481765484887	9.25508748906389
Rbck1	8.89831800321742	8.32179341897161	8.52434188244627	8.73114735485951
Pnpo	9.80495182761969	9.03328185770608	9.84070025216061	9.59268566055565
Dazap2	12.0945695309521	12.497069286512	12.0815736739504	12.0523455458327
Plat	10.3056136597772	9.89071465375092	9.59398520082808	9.83273245656991
Lbr	9.03890871135126	8.64957601017823	8.99387027118007	8.68831096261126
Orc5	7.97800533609866	7.83424699933617	7.92463514998245	8.08199737435224
Agtr2	3.63719847091361	3.54392015730321	3.81183873245037	3.49966946860131
Dusp6	9.29654630904952	7.26689549605283	9.07355149367952	9.10241631744025
Prl3b1	3.89732858165105	3.9958957131416	4.16635846545832	3.95084876207674
Dync1i2	10.3508218415533	10.6917273357326	10.1462315504625	10.2125189177672
Prl3d1	5.74196914627618	6.33725110104708	5.87520882960263	6.0159615932038
Rasa3	7.4661513685746	7.57530111970003	6.92661224619228	7.13081294573579
Def8	8.79747955709441	8.48137915675817	8.99931774284897	8.59141062667398
Kpna2	9.91938904484509	8.42962416616152	9.21544292420633	9.10584036073793
Calu	10.2088075777009	9.89628718359833	9.5596568859512	10.0062841777885
Spry1	9.29920286515558	9.6315853299549	9.29124429437887	9.23592946972936
Rps26	12.5558750490737	12.636284486165	12.460724911484	12.4653482419122
Rplp2	12.461108815442	12.6204359444488	12.1277766815506	12.4159149003614
Lamp1	12.9144178271092	13.0295819327171	12.878251761401	12.9916513981896
Chgb	4.02214448836399	4.33440385038921	4.09386612965579	4.10440089671758
Sh2d3c	7.48109502389615	6.98270519762484	7.3720372169196	7.49462617710831
Tfg	10.975185511415	10.8161555659824	11.005094400929	10.6324620589185
Papss1	10.81715042395	10.4291530102579	11.1209079751838	10.713589678492
Suclg1	12.3276086521645	12.0322411060821	12.4795009397891	12.097934784204
Junb	6.31383241766592	8.65441728308551	6.04574784416226	6.18299757206833
Plod3	9.14476620690608	8.92439555604433	8.90080628032067	9.06133833671789
Reg1	4.48285716336867	4.65443284839061	4.77681218632118	4.59697493894465
Tmsb4x	12.7195184316888	12.6533821350516	12.1521760827072	12.6536314946496
Stip1	8.69005013996138	7.87868009277613	8.4292817345564	8.43866765621942
Npdc1	7.89506904895386	7.85348278450333	7.17496651796918	7.76467344250135
Cstf2t	9.94214681293294	8.82781202229597	9.74992110045419	10.0796382950513
Actc1	5.2265610759622	5.05642763546602	5.25834401468463	4.90985097579295
Cops8	8.96943006272147	9.02782343811274	8.94342028007529	8.96656313544334
Spink1	13.0280977260723	12.5533066472174	12.7441688892474	12.9388563603742
Mpo	5.16456459037245	5.65262378879025	5.75265506383755	5.62776789723836
Itm2c	10.2898659619541	10.3428387645697	9.6812496314158	10.2116255650094
Hnrnph2	9.95133997088478	9.9290414557615	9.90233008318599	9.84501721835857
Isyna1	9.47600867533158	8.45510249739404	8.74700826587577	9.04505533282844
Tubb3	3.93807431773953	3.94745048301856	3.80025921944221	3.87124945721303
Acadm	12.9039390855938	13.0820622393066	13.3502183176981	13.001045494555
Vdac2	12.530303150077	12.2965471625664	12.3160062141089	12.3277017830606
Sqle	8.9668644419007	9.06447363123524	9.11692250290544	8.48809592363545
Cyp2e1	12.1709736356228	13.6672987487667	13.7009525116415	12.2214315852047
